Kapitel,Name
0101, Landtag
0102, Unabhängiges Landeszentrum für Datenschutz
0103, Die Bürgerbeauftragte für soziale Angelegenheiten des Landes Schleswig-Holstein
0104," Der Beauftrage für Flüchtlings-, Asyl- und Zuwanderungsfragen"
0105, Der Landesbeauftragte für Menschen mit Behinderung
0106, Der Landesbeauftragte für politische Bildung
0201, Landesrechnungshof
0301," Ministerpräsident, Staatskanzlei"
0303, Minderheiten und Grenzverbände
0304," Landesplanung, Landesentwicklung"
0312, Dienstleistungszentrum Personal – DLZP
0401, Ministerium 
0402, Sport
0403, Vermessung und Geoinformation
0404," Bundesangelegenheiten, Vertretung des Landes Schleswig-Holstein beim Bund "
0405," Feuerwehrwesen, Katastrophen- und Zivilschutz "
0407, Ausländer- und Integrationsangelegenheiten
0410, Polizei 
0416," Städtebau, Wohnungs- und Bauwesen"
0501, Allgemeine Angelegenheiten
0502, Finanzen und Haushalt
0505, Steuerwesen
0506, Wirtschaft
0601, Allgemeines
0612, Wirtschaft
0613," Technologie, Tourismus und Verbraucherschutz"
0614, Verkehrswesen
0616, Arbeit und Qualifizierung
0701, Ministerium
0707, Lehrkräfte im Vorbereitungsdienst
0708, Deutsche Schulen in Nordschleswig
0709, Berufsbildung
0710, Allgemeine Bewilligungen zur Sicherung der Unterrichtsversorgung
0711, Grundschulen
0712, Förderzentren und sonderpädagogische Förderung
0713, Regionalschulen
0714, Gymnasien
0715, Gemeinschaftsschulen
0716, Berufsbildende Schulen
0717, Institut für Qualitätsentwicklung an Schulen Schleswig-Holstein (IQSH)
0718, Landesförderzentrum Hören und Kommunikation
0719, Landesförderzentren Sehen sowie körperliche und motorische Entwicklung
0901, Ministerium
0902, Gerichte der ordentlichen Gerichtsbarkeit
0903, Justizvollzugsanstalten
0904, Gerichte der Verwaltungsgerichtsbarkeit
0905, Gerichte der Sozialgerichtsbarkeit
0906, Schleswig-Holsteinisches Finanzgericht
0908, Staatsanwaltschaften
0909, Gerichte der Arbeitsgerichtsbarkeit
0911, Europaangelegenheiten
0940, Kulturförderung
0941, Kirchenangelegenheiten
0942, Landesarchiv
0943, Schleswig-Holsteinische Landesbibliothek
0944, Archäologisches Landesamt
0945, Landesamt für Denkmalpflege
0946, Erwachsenenbildung
1001, Ministerium
1002, Gesundheit
1003," Soziales Entschädigungsrecht, Kriegsfolgelasten, Schwerbehindertenrecht"
1004," Arbeitsschutz, Sozialversicherungssysteme und Verbraucheraufklärung (Ernährung)"
1005, Soziale Hilfen und Behindertenpolitik
1007, Sicherung der Qualitätsentwicklung der Förderung von Kindern in Tageseinrichtungen und Tagespflege
1008, Förderung der Gleichstellung
1012," Kinder-, Jugend-, Familien- und Seniorenpolitik, bürgerschaftliches Engagement / Landesjugendamt"
1013, Hochschulen
1014, Sicherung und Entwicklung der Forschungslandschaft und allgemeine Forschungsförderung
1015, Leistungen für Schüler und Studierende
1101, Steuern und steuerähnliche Abgaben
1102, Finanzzuweisungen
1104, Sicherheitsleistungen und Gewährleistungen
1105," Versorgung, Unfallfürsorge und Ausgleichsbeträge (G 131 usw.)"
1106, Beihilfen und Heilfürsorge
1111, Sonstige allgemeine Einnahmen und Ausgaben
1116," Kredite, Finanzderivate, Schulden"
1201, Landtag
1202, Landesrechnungshof
1203," Ministerpräsident, Staatskanzlei"
1204, Ministerium für Inneres und Bundesangelegenheiten
1205, Finanzministerium
1206," Ministerium für Wirtschaft, Arbeit, Verkehr und Technologie"
1207, Ministerium für Schule und Berufsbildung
1209," Ministerium für Justiz, Kultur und Europa"
1210," Ministerium für Soziales, Gesundheit, Wissenschaft und Gleichstellung"
1211, Allgemeine Hochbauvorhaben des Landes
1212, Ausbau und Neubau von Hochschulen
1213," Ministerium für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
1220, Raumbedarfsdeckung des Landes
1221, Zentrales Grundvermögen zur Behördenunterbringung (ZGB)
1222, ÖPP-Finanzierungen des Landes
1301, Ministerium/Allgemeines
1312," Immissionsschutz, Bio- und Gentechnologie"
1313, Naturschutz
1314," Forstwirtschaft, Jagd"
1315," Wasserwirtschaft, Meeres- und Küstenschutz"
1316," Abfallwirtschaft, Bodenschutz und Altlasten"
1317," Landwirtschaft, Fischerei"
1318," Energie, Klimaschutz, nachhaltige Entwicklung"
1319, Verbraucherschutz
1320, Gemeinschaftsaufgabe “Verbesserung der Agrarstruktur und des Küstenschutzes“
1321, Reaktorsicherheit und Strahlenschutz
1401, Allgemeine Angelegenheiten
1402, Informations- und Kommunikationstechnologien (IT)
1403, E-Government (IT-Maßnahmen mit kommunalem Schwerpunkt)
1404, Modernisierung der Verwaltung
1405, Programm “Kooperative Personaldienste SH/FHH (KoPers)“
1406, Digitalfunk Land Schleswig-Holstein
1501, Landesverfassungsgericht
1604, Ministerium für Inneres und Bundesangelegenheiten
1606," Ministerium für Wirtschaft, Arbeit, Verkehr und Technologie"
1607, Ministerium für Schule und Berufsbildung
1609," Ministerium für Justiz, Kultur und Europa"
1610," Ministerium für Soziales, Gesundheit, Wissenschaft und Gleichstellung"
1611, Allgemeine Finanzverwaltung
1612, Hochbaumaßnahmen und Raumbedarfsdeckung des Landes
1613," Ministerium für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
1614," Informations- und Kommunikationstechnologien, E-Government und Organisation"